frame_id,timestamp,timestamp_str,frame_path,crop_path,character,character_ko,expected_emotion,predicted_emotion,detection_score,emotion_confidence,mismatch_score,xmin,ymin,xmax,ymax,box_area,prob_happy,prob_sad,prob_angry,prob_fearful,prob_disgusted,prob_surprised,prob_neutral
1,12.0,00:12,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00001.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00001_Riley_0.jpg,Riley,라일리,neutral,neutral,0.13330838084220886,0.4828723967075348,0.0,344,0,1562,712,723450,0.2876836657524109,0.02168089523911476,0.00875892024487257,0.08415009081363678,0.021784521639347076,0.09306947886943817,0.4828723967075348
3,16.0,00:16,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00003.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00003_Anger_0.jpg,Anger,버럭,angry,fearful,0.10999754071235657,0.3861820697784424,0.8,151,305,390,693,69552,0.006566064897924662,0.11647798866033554,0.270092636346817,0.3861820697784424,0.06089659035205841,0.050404224544763565,0.10938046127557755
4,17.0,00:17,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00004.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00004_Anger_0.jpg,Anger,버럭,angry,fearful,0.09955492615699768,0.2752087116241455,0.8,259,246,904,712,241738,0.02494063228368759,0.1105784922838211,0.1556726098060608,0.2752087116241455,0.10294651240110397,0.06263416260480881,0.2680189311504364
5,18.0,00:18,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00005.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00005_Riley_0.jpg,Riley,라일리,neutral,surprised,0.11325076967477798,0.3163819909095764,0.6,276,241,805,712,200623,0.0365796834230423,0.07675687223672867,0.1327221542596817,0.31583574414253235,0.056648485362529755,0.3163819909095764,0.06507502496242523
6,19.0,00:19,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00006.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00006_Riley_0.jpg,Riley,라일리,neutral,happy,0.1147133857011795,0.5372030138969421,0.5,847,48,1186,690,162322,0.5372030138969421,0.009898001328110695,0.001014260109513998,0.048525094985961914,0.005635097622871399,0.012217807583510876,0.38550665974617004
10,28.0,00:28,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00010.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00010_Disgust_0.jpg,Disgust,까칠,disgusted,surprised,0.10401498526334763,0.3620021343231201,0.7,248,157,729,712,213310,0.016292855143547058,0.06175456941127777,0.19530189037322998,0.15975414216518402,0.11726067215204239,0.3620021343231201,0.08763376623392105
10,28.0,00:28,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00010.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00010_Joy_1.jpg,Joy,기쁨,happy,fearful,0.09236521273851395,0.3802783191204071,0.8,602,0,1085,712,292317,0.03842752054333687,0.06279647350311279,0.05069666728377342,0.3802783191204071,0.04505512863397598,0.3103480637073517,0.11239783465862274
14,32.0,00:32,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00014.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00014_Riley_0.jpg,Riley,라일리,neutral,fearful,0.12517105042934418,0.5535194873809814,0.7,375,0,1605,712,752958,0.00928541086614132,0.029419509693980217,0.1554216891527176,0.5535194873809814,0.04256674274802208,0.1299508810043335,0.07983624935150146
15,33.0,00:33,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00015.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00015_Riley_0.jpg,Riley,라일리,neutral,happy,0.15133941173553467,0.6293683648109436,0.5,402,0,1468,712,627440,0.6293683648109436,0.010235853493213654,0.0033800904639065266,0.027934696525335312,0.009886831976473331,0.009424261748790741,0.3097698390483856
16,35.0,00:35,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00016.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00016_Anger_0.jpg,Anger,버럭,angry,angry,0.1469825804233551,0.5926392078399658,0.0,513,327,1256,712,227555,0.001159752020612359,0.05151401832699776,0.5926392078399658,0.09593002498149872,0.18072475492954254,0.05536818504333496,0.02266397513449192
16,35.0,00:35,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00016.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00016_Riley_1.jpg,Riley,라일리,neutral,happy,0.14338524639606476,0.41015201807022095,0.5,0,48,727,712,403942,0.41015201807022095,0.01680859923362732,0.019716154783964157,0.10378043353557587,0.023052675649523735,0.031324829906225204,0.39516526460647583
18,44.0,00:44,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00018.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00018_Riley_0.jpg,Riley,라일리,neutral,happy,0.11942878365516663,0.48475906252861023,0.5,133,0,616,712,278556,0.48475906252861023,0.00798095390200615,0.006185910664498806,0.046567078679800034,0.020316854119300842,0.009365394711494446,0.4248247742652893
19,46.0,00:46,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00019.jpg,/content/drive/MyDrive/인지프/aeaa_lora_weights/crops/frame_00019_Anger_0.jpg,Anger,버럭,angry,neutral,0.12910999357700348,0.36858007311820984,0.4,467,0,1227,712,444112,0.026465050876140594,0.08330541104078293,0.06071525439620018,0.11446096748113632,0.15820594131946564,0.18826736509799957,0.36858007311820984
